,S001,S002,S003,S004,S005,S006,S007,S008,S009,S010,S011,S012,S013,S014,S015,S016,S017,S018,S019,S020
S001,0.0,0.18,0.24,0.12,0.0,0.0,0.04,0.0,0.04,0.04,0.06,0.0,0.04,0.0,0.36,0.18,0.0,0.0,0.04,0.04
S002,0.18,0.0,0.12,0.24,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.06,0.0,0.04,0.18,0.36,0.0,0.0,0.0,0.0
S003,0.24,0.12,0.0,0.18,0.0,0.0,0.06,0.0,0.04,0.04,0.04,0.0,0.04,0.0,0.24,0.12,0.0,0.0,0.06,0.04
S004,0.12,0.24,0.18,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.04,0.0,0.04,0.12,0.24,0.0,0.0,0.0,0.0
S005,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.24,0.0,0.0
S006,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.36,0.0,0.0
S007,0.04,0.0,0.06,0.0,0.0,0.0,0.0,0.18,0.04,0.04,0.04,0.0,0.04,0.0,0.04,0.0,0.0,0.0,0.36,0.04
S008,0.0,0.04,0.0,0.06,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.0,0.04,0.0,0.0,0.18,0.0
S009,0.04,0.0,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.36,0.04,0.0,0.06,0.0,0.04,0.0,0.0,0.0,0.04,0.36
S010,0.04,0.0,0.04,0.0,0.0,0.0,0.04,0.0,0.36,0.0,0.04,0.0,0.06,0.0,0.04,0.0,0.0,0.0,0.04,0.36
S011,0.06,0.0,0.04,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.0,0.18,0.04,0.0,0.06,0.0,0.0,0.0,0.04,0.04
S012,0.0,0.06,0.0,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.18,0.0,0.0,0.04,0.0,0.06,0.0,0.0,0.0,0.0
S013,0.04,0.0,0.04,0.0,0.0,0.0,0.04,0.0,0.06,0.06,0.04,0.0,0.0,0.18,0.04,0.0,0.0,0.0,0.04,0.06
S014,0.0,0.04,0.0,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04,0.18,0.0,0.0,0.04,0.0,0.0,0.0,0.0
S015,0.36,0.18,0.24,0.12,0.0,0.0,0.04,0.0,0.04,0.04,0.06,0.0,0.04,0.0,0.0,0.18,0.0,0.0,0.04,0.04
S016,0.18,0.36,0.12,0.24,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.06,0.0,0.04,0.18,0.0,0.0,0.0,0.0,0.0
S017,0.0,0.0,0.0,0.0,0.36,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0
S018,0.0,0.0,0.0,0.0,0.24,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0
S019,0.04,0.0,0.06,0.0,0.0,0.0,0.36,0.18,0.04,0.04,0.04,0.0,0.04,0.0,0.04,0.0,0.0,0.0,0.0,0.04
S020,0.04,0.0,0.04,0.0,0.0,0.0,0.04,0.0,0.36,0.36,0.04,0.0,0.06,0.0,0.04,0.0,0.0,0.0,0.04,0.0
