SKU_ID,FinalElasticity,R2,P_Value,ElasticitySource,SKU,SKU_Category
S001,-1.123,0.0313,0.0,ols,Richeese Wafer Keju 50g,Wafer
S002,-1.0131,0.0371,0.0,ols,Richoco Wafer Cokelat 50g,Wafer
S003,-1.1474,0.0621,0.0,ols,Richeese Wafer Keju 10g Renceng,Wafer
S004,-1.3542,0.0292,0.0,ols,Richoco Wafer Cokelat 10g Renceng,Wafer
S005,-1.2095,0.0155,0.0021,ols,Nextar Brownies Pie 40g,Kue/Pie
S006,-1.2722,0.0395,0.0,ols,Nextar Nastar Pie 30g,Kue/Pie
S007,-1.2273,0.0458,0.0,ols,Richeese Siip Keju 20g,Extruded Snack
S008,-0.8624,0.0097,0.0148,ols,Richoco Ahh! Extruded 15g,Extruded Snack
S009,-0.7585,0.0292,0.0,ols,Richeese Mi Instan Keju Pedas,Mi Instan
S010,-0.5068,0.0051,0.0767,ols,Richeese Mi Instan Ramen Keju,Mi Instan
S011,-1.0664,0.0244,0.0001,ols,Nabati Biskuit Rasa Kelapa,Biskuit
S012,-1.304,0.054,0.0,ols,Nabati Biskuit Rasa Cokelat,Biskuit
S013,-1.2929,0.0725,0.0,ols,Nabati Drinko Richeese 150ml,Minuman
S014,-0.9124,0.0285,0.0,ols,Nabati Drinko Richoco 150ml,Minuman
S015,-1.2938,0.0344,0.0,ols,Richeese Wafer Pink Lava 50g,Wafer
S016,-1.7679,0.0824,0.0,ols,Richoco Wafer Hazelnut 50g,Wafer
S017,-1.0343,0.0346,0.0,ols,Nextar Choco Delight 40g,Kue/Pie
S018,-1.0955,0.0425,0.0,ols,Nextar Pineapple Pie 30g,Kue/Pie
S019,-1.0,0.0011,0.4049,fallback,Richeese Siip Jagung Bakar 20g,Extruded Snack
S020,-0.9985,0.0483,0.0,ols,Richeese Mi Instan Goreng,Mi Instan
