,TransactionID,DateTime,Date_Key,Branch,Customer_ID,SKU_ID,SKU,Brand,SKU_Category,Qty,NormalPrice,DiscountedPrice,DiscountPercentage,Total_Price,Promo_Category
0,T169364,2025-09-26 18:52:04,20250926,Jakarta,C57902,S001,Richeese Wafer Keju 50g,Richeese,Wafer,4,5800.0,5800.0,0.0,23200.0,No Promo
1,T205087,2025-10-27 16:26:19,20251027,Jakarta,C60093,S006,Nextar Nastar Pie 30g,Nextar,Kue/Pie,1,7000.0,7000.0,0.0,7000.0,No Promo
2,T155168,2025-09-14 18:27:52,20250914,Jakarta,C29135,S013,Nabati Drinko Richeese 150ml,Richeese,Minuman,1,4000.0,4000.0,0.0,4000.0,No Promo
3,T042671,2025-05-27 18:06:07,20250527,Jakarta,C38479,S015,Richeese Wafer Pink Lava 50g,Richeese,Wafer,3,5500.0,5500.0,0.0,16500.0,No Promo
4,T066885,2025-06-22 19:48:31,20250622,Jakarta,C04625,S020,Richeese Mi Instan Goreng,Richeese,Mi Instan,1,3500.0,2450.0,0.3,2450.0,Promo Seasonal High
5,T109766,2025-08-05 09:38:18,20250805,Jakarta,C89286,S004,Richoco Wafer Cokelat 10g Renceng,Richoco,Wafer,5,10000.0,10000.0,0.0,50000.0,No Promo
6,T075065,2025-07-01 18:02:35,20250701,Jakarta,C20078,S013,Nabati Drinko Richeese 150ml,Richeese,Minuman,4,4000.0,4000.0,0.0,16000.0,No Promo
7,T040074,2025-05-24 09:35:20,20250524,Jakarta,C74848,S013,Nabati Drinko Richeese 150ml,Richeese,Minuman,3,4000.0,4000.0,0.0,12000.0,No Promo
8,T209040,2025-10-30 12:08:21,20251030,Surabaya,C22537,S015,Richeese Wafer Pink Lava 50g,Richeese,Wafer,2,5500.0,5500.0,0.0,11000.0,No Promo
9,T055909,2025-06-10 11:04:57,20250610,Semarang,C72813,S020,Richeese Mi Instan Goreng,Richeese,Mi Instan,4,3500.0,2450.0,0.3,9800.0,Promo Seasonal High
10,T064597,2025-06-20 11:00:24,20250620,Jakarta,C82304,S001,Richeese Wafer Keju 50g,Richeese,Wafer,3,5800.0,5800.0,0.0,17400.0,No Promo
11,T208028,2025-10-29 12:55:27,20251029,Bandung,C28430,S005,Nextar Brownies Pie 40g,Nextar,Kue/Pie,2,7000.0,7000.0,0.0,14000.0,No Promo
12,T033862,2025-05-17 15:39:23,20250517,Jakarta,C20638,S005,Nextar Brownies Pie 40g,Nextar,Kue/Pie,2,7000.0,5600.0,0.2,11200.0,Promo Bundling
13,T117378,2025-08-12 14:34:36,20250812,Jakarta,C60529,S004,Richoco Wafer Cokelat 10g Renceng,Richoco,Wafer,5,10000.0,9500.0,0.05,47500.0,Promo Normal
14,T136843,2025-08-29 12:26:15,20250829,Surabaya,C82890,S017,Nextar Choco Delight 40g,Nextar,Kue/Pie,3,7000.0,7000.0,0.0,21000.0,No Promo
15,T119793,2025-08-14 19:10:39,20250814,Jakarta,C75886,S011,Nabati Biskuit Rasa Kelapa,Richeese,Biskuit,2,5000.0,5000.0,0.0,10000.0,No Promo
16,T201476,2025-10-23 09:20:19,20251023,Bandung,C13983,S009,Richeese Mi Instan Keju Pedas,Richeese,Mi Instan,5,3500.0,3500.0,0.0,17500.0,No Promo
17,T148750,2025-09-09 11:17:39,20250909,Jakarta,C72104,S001,Richeese Wafer Keju 50g,Richeese,Wafer,4,5800.0,5220.0,0.1,20880.0,Promo Bundling
18,T120238,2025-08-14 12:16:16,20250814,Surabaya,C04945,S013,Nabati Drinko Richeese 150ml,Richeese,Minuman,2,4000.0,3000.0,0.25,6000.0,Promo Seasonal High
